country_code,year,compulsory_education_duration,education_expenditure_gdp_rate,literacy_rate,completion_rate,region,income_group,country_name,learning_outcome,gdppc,population,education_spent
CIV,2000,10.0,3.70367002487183,48.7407608032227,49.6106414794922,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,,2352.8563,17552.10129,87.14203351140843
CMR,2000,6.0,1.77991998195648,68.4091567993164,4.72077989578247,Sub-Saharan Africa,Lower middle income,Cameroon,,1961.0879,15913.57027,34.90579539583071
COD,2000,6.0,0.814840018749237,,8.70283973217011,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",,414.0469,52781.73002,7.284669767618178
COG,2000,10.0,4.06827020645142,59.6191215515137,23.94841957092285,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",,4159.2227,2998.659281,164.47114509178317
COL,2000,10.0,3.5112099647522,91.207160949707,37.264773368835435,Latin America & Caribbean,Upper middle income,Colombia,,8496.7919,38916.78453,298.3402038770578
COM,2000,6.0,2.20135998725891,68.4892272949219,,Sub-Saharan Africa,Lower middle income,Comoros,,1204.4024,545.0,25.972615929435
CPV,2000,6.0,6.80168008804321,76.1104431152344,,Sub-Saharan Africa,Lower middle income,Cabo Verde,,3583.5868,430.0,227.6440637290205
CRI,2000,11.0,4.66695022583008,94.8681869506836,19.147610505421934,Latin America & Caribbean,Upper middle income,Costa Rica,,9319.7662,3887.593355,434.9488497177354
CUB,2000,9.0,7.70481014251709,97.8466491699219,,Latin America & Caribbean,Upper middle income,Cuba,,4009.3399,11147.0,308.91202726318454
CUW,2000,9.0,,,,Latin America & Caribbean,High income,Curaçao,,,,
CYM,2000,12.0,,,54.6899490356445,Latin America & Caribbean,High income,Cayman Islands,,,,
CYP,2000,9.0,4.98954010009766,94.3624725341797,66.56656646728516,Europe & Central Asia,High income,Cyprus,,22326.798,815.4397446,1114.0045392778022
CZE,2000,,3.64034008979797,,67.9149780273438,Europe & Central Asia,High income,Czech Republic,512.7007233333334,17056.1595,10231.40263,620.9022120583851
DEU,2000,13.0,4.46187019348145,,,Europe & Central Asia,High income,Germany,500.8227033333333,33367.2838,82157.03139,1388.9616476982512
DJI,2000,10.0,9.65999984741211,,,Middle East & North Africa,Lower middle income,Djibouti,,1880.9988,669.0,181.7044812098236
DMA,2000,12.0,4.02858018875122,,12.8400001525879,Latin America & Caribbean,Upper middle income,Dominica,,5696.9552,71.0,224.95687654195302
DNK,2000,9.0,8.08434009552002,,19.7295207977295,Europe & Central Asia,High income,Denmark,510.9008066666667,39021.1776,5339.63158,3154.6047064608765
DOM,2000,9.0,1.88829004764557,73.064567565918,11.399999737739549,Latin America & Caribbean,Upper middle income,Dominican Republic,,6788.0839,8300.549937,128.17871270953125
DZA,2000,10.0,6.59742021560669,49.6308784484863,1.78961331645648,Middle East & North Africa,Lower middle income,Algeria,,6834.5539,30514.66903,331.45439163208016
ECU,2000,10.0,1.15093004703522,88.2987594604492,43.065445582071966,Latin America & Caribbean,Upper middle income,Ecuador,,6908.243,12445.838,79.50904440920729
EGY,2000,9.0,4.67156982421875,55.5870018005371,47.7125091552734,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",,6593.5318,67329.76248,247.27088572357178
ERI,2000,,5.26281023025513,,,Sub-Saharan Africa,Low income,Eritrea,,,,
ESP,2000,10.0,4.16604995727539,96.4949722290039,21.302554607391343,Europe & Central Asia,High income,Spain,500.6545233333333,26994.8601,41072.46303,1124.6193576626013
EST,2000,9.0,5.33242988586426,99.7671966552734,72.26285998026529,Europe & Central Asia,High income,Estonia,,16806.9746,1365.208527,896.2201364800152
ETH,2000,8.0,3.98310995101929,27.0113506317139,,Sub-Saharan Africa,Low income,Ethiopia,,771.7315,65213.04546,30.738914171650432
FIN,2000,9.0,5.70930004119873,,32.99508571624755,Europe & Central Asia,High income,Finland,550.3321566666667,32689.7689,5176.209019,1866.3569892754695
FJI,2000,,5.87773990631104,,42.324710528055796,East Asia & Pacific,Upper middle income,Fiji,,,,
FRA,2000,10.0,5.68792009353638,,48.3541107177734,Europe & Central Asia,High income,France,519.9296366666666,33409.6815,60819.18454,1781.6316247243929
FRO,2000,,,,,Europe & Central Asia,High income,Faroe Islands,,,,
FSM,2000,,6.70687007904053,,,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",,,,
GAB,2000,10.0,3.82709002494812,72.2336730957031,,Sub-Saharan Africa,Upper middle income,Gabon,,10637.7997,1178.627762,407.118171192661
GBR,2000,11.0,4.03173017501831,,7.9289698600769,Europe & Central Asia,High income,United Kingdom,538.8905633333334,31946.0363,59145.29546,1287.9779852294027
GEO,2000,6.0,2.18105006217957,,,Europe & Central Asia,Upper middle income,Georgia,,4891.6641,4814.406897,106.68964289466571
GHA,2000,9.0,4.11037015914917,57.8974685668945,16.5,Sub-Saharan Africa,Lower middle income,Ghana,,2100.2931,18816.19112,84.95071355164146
GIB,2000,10.0,,,,Europe & Central Asia,High income,Gibraltar,,,,
GIN,2000,6.0,2.59340000152588,20.5537490844727,9.95954990386963,Sub-Saharan Africa,Low income,Guinea,,1046.5671,7780.073,27.141671187369358
GMB,2000,9.0,1.46587002277374,36.8177299499512,4.0512900352478,Sub-Saharan Africa,Low income,"Gambia, The",,1440.8619,1357.0,21.121162661668144
GNB,2000,6.0,5.24617004394531,41.3577690124512,,Sub-Saharan Africa,Low income,Guinea-Bissau,,1230.6406,1207.665,65.89622384223934
GNQ,2000,5.0,2.18797993659973,88.3082962036133,,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,,12914.8513,491.0,212.50156065318234
GRC,2000,9.0,3.23019003868103,92.6104507446289,42.56666660308838,Europe & Central Asia,High income,Greece,476.7036666666666,20965.3318,10734.60658,677.2200593800262
GRD,2000,9.0,,98.5999984741211,10.003589630127,Latin America & Caribbean,Upper middle income,Grenada,,,,
GRL,2000,,,,,Europe & Central Asia,High income,Greenland,,,,
GTM,2000,16.0,1.56369996070862,64.2116394042969,9.666667064030984,Latin America & Caribbean,Upper middle income,Guatemala,,5860.2719,11725.68118,86.18965162819657
GUM,2000,0.0,,99.3691482543945,86.1523666381836,East Asia & Pacific,High income,Guam,,,,
GUY,2000,6.0,8.48414993286133,,19.1052494049072,Latin America & Caribbean,Upper middle income,Guyana,,,,
HKG,2000,9.0,2.72831010818481,,61.7018890380859,East Asia & Pacific,High income,"Hong Kong SAR, China",551.62612,32894.0108,6590.295323,880.202051429841
HND,2000,9.0,2.61744999885559,,6.616409977277123,Latin America & Caribbean,Lower middle income,Honduras,,3335.7154,6367.242,82.81157145314286
HRV,2000,8.0,,96.7015533447266,26.228684425354004,Europe & Central Asia,High income,Croatia,,13244.5407,4148.993232,
HTI,2000,6.0,1.07398998737335,34.734691619873,10.0275402069092,Latin America & Caribbean,Lower middle income,Haiti,,1520.7292,8279.0,17.49227683446738
HUN,2000,13.0,4.86840009689331,98.8582916259766,10.1024904251099,Europe & Central Asia,High income,Hungary,501.51600333333334,13129.2731,10208.89416,639.1855443217872
IDN,2000,,1.07208001613617,81.5198516845703,10.709510087966894,East Asia & Pacific,Lower middle income,Indonesia,398.54582666666664,5384.3867,211407.5643,64.92354157598201
IMN,2000,,,,,Europe & Central Asia,High income,Isle of Man,,,,
IND,2000,,4.32479000091553,48.2220687866211,16.2313499450684,South Asia,Lower middle income,India,,2753.0855,1007310.211,119.06516642065533
IRL,2000,10.0,4.13589000701904,,61.4764289855957,Europe & Central Asia,High income,Ireland,526.5858133333332,38806.5014,3798.922054,1604.9942134763041
IRN,2000,5.0,4.03064012527466,73.0602493286133,,Middle East & North Africa,Lower middle income,"Iran, Islamic Rep.",,9104.763,65975.59593,366.98023078916094
IRQ,2000,6.0,3.55150008201599,74.0522003173828,,Middle East & North Africa,Upper middle income,Iraq,,3649.4929,24462.88176,145.54047336101527
ISL,2000,10.0,6.4314398765564,,,Europe & Central Asia,High income,Iceland,518.5168966666666,33108.291,281.0874751,2129.3398298203333
ISR,2000,11.0,6.10131978988647,91.7514114379883,29.1499991416931,Middle East & North Africa,High income,Israel,457.66577333333333,26058.8406,6123.003196,1589.93319854277
ITA,2000,8.0,4.29107999801636,96.4605407714844,18.699999570846533,Europe & Central Asia,High income,Italy,489.3441066666667,32716.9801,56965.84741,1403.911789026093
JAM,2000,6.0,4.98346996307373,79.9201202392578,32.589038848877,Latin America & Caribbean,Upper middle income,Jamaica,,6531.2848,2670.448369,325.48461621080014
JOR,2000,10.0,4.94416999816895,66.7968063354492,,Middle East & North Africa,Upper middle income,Jordan,,7621.8406,4686.024746,362.92648723288187
JPN,2000,9.0,3.43330001831055,,62.17437044779461,East Asia & Pacific,High income,Japan,552.1317333333333,33210.8078,126933.1312,1112.200906593114
KAZ,2000,9.0,3.25661993026733,99.5126571655273,86.42745590209965,Europe & Central Asia,Upper middle income,Kazakhstan,,9309.4195,15334.79664,303.1724108291932
KEN,2000,8.0,5.1867299079895,82.2290802001953,9.19999980926514,Sub-Saharan Africa,Lower middle income,Kenya,431.55427499999996,1914.8864,31024.76972,99.31998561282346
KGZ,2000,9.0,3.50838994979858,98.7016067504883,66.87814394632976,Europe & Central Asia,Lower middle income,Kyrgyz Republic,,3246.3831,4826.164946,113.89577841235958
KHM,2000,,1.66681003570557,67.3350296020508,,East Asia & Pacific,Lower middle income,Cambodia,,1659.0891,12320.89222,27.65386362009722
KIR,2000,,11.1858701705933,,10.5359601974487,East Asia & Pacific,Lower middle income,Kiribati,,,,
KNA,2000,12.0,4.74038982391357,,31.6161594390869,Latin America & Caribbean,High income,St. Kitts and Nevis,,,,
KOR,2000,6.0,3.3692901134491,,64.25169245402017,East Asia & Pacific,High income,"Korea, Rep.",550.4795933333334,23108.0175,47008.0,725.7684261402617
KWT,2000,9.0,5.5826301574707,78.3955001831055,31.4781551361084,Middle East & North Africa,High income,Kuwait,,35844.7475,2090.67149,1759.1532684920833
LAO,2000,5.0,1.50369000434875,69.583122253418,,East Asia & Pacific,Lower middle income,Lao PDR,,2262.2356,5397.0,34.01701059201897
LBN,2000,6.0,2.0846700668335,,14.699999968210856,Middle East & North Africa,Upper middle income,Lebanon,,7405.707,4317.983576,136.90863447724368
LBR,2000,,,32.1067695617676,9.699580192565914,Sub-Saharan Africa,Low income,Liberia,,971.933,2847.0,
LBY,2000,9.0,2.26416993141174,76.5,20.6499996185303,Middle East & North Africa,Upper middle income,Libya,,9770.9804,5115.502834,205.22588636952398
LCA,2000,10.0,5.44994020462036,,13.99450016021729,Latin America & Caribbean,Upper middle income,St. Lucia,,7191.2747,153.0,387.5925806812309
LIE,2000,9.0,,,96.6719207763672,Europe & Central Asia,High income,Liechtenstein,504.60212333333334,,,
LKA,2000,9.0,3.05141997337341,86.7779235839844,17.654764473438288,South Asia,Lower middle income,Sri Lanka,,5841.0941,18820.01919,166.00399018965464
LSO,2000,,10.0915498733521,86.2544326782227,6.237536706030355,Sub-Saharan Africa,Lower middle income,Lesotho,316.33536000000004,1967.4333,1916.0,198.54451269443703
LTU,2000,10.0,6.11644983291626,98.4412689208984,41.10626888275145,Europe & Central Asia,High income,Lithuania,,10806.8739,3496.694987,635.0170023654699
LUX,2000,11.0,3.33611011505127,,56.3331298828125,Europe & Central Asia,High income,Luxembourg,460.4596166666667,50063.8241,437.5751363,1357.3932475852491
LVA,2000,11.0,5.28064012527466,99.7465667724609,70.2501163482666,Europe & Central Asia,High income,Latvia,476.17966,11309.7404,2367.940217,597.2266896267988
MAC,2000,10.0,3.31438994407654,90.3781814575195,42.6227453549703,East Asia & Pacific,High income,"Macao SAR, China",,,,
MAF,2000,,,,,Latin America & Caribbean,High income,St. Martin (French part),,,,
MAR,2000,9.0,5.14016008377075,41.594108581543,5.0,Middle East & North Africa,Lower middle income,Morocco,,4753.6383,28675.02281,242.65520200870557
MCO,2000,,1.25536000728607,,57.1057586669922,Europe & Central Asia,High income,Monaco,,,,
MDA,2000,9.0,4.48639011383057,96.6538009643555,70.1999969482422,Europe & Central Asia,Upper middle income,Moldova,,2989.5348,4199.328923,134.1221937167245
MDG,2000,5.0,2.4386899471283,70.6861724853516,,Sub-Saharan Africa,Low income,Madagascar,,1238.7764,15712.415,30.209915534197858
MDV,2000,7.0,,96.3264999389648,,South Asia,Upper middle income,Maldives,,,,
MEX,2000,9.0,3.99243998527527,90.5356216430664,38.01236565907797,Latin America & Caribbean,Upper middle income,Mexico,430.02898999999996,12613.3961,98402.89246,503.5822693975515
MHL,2000,9.0,13.7318296432495,,,East Asia & Pacific,Upper middle income,Marshall Islands,,,,
MKD,2000,,4.30311012268066,94.0587463378906,39.8930511474609,Europe & Central Asia,Upper middle income,North Macedonia,405.7522966666667,8083.7897,2017.37,305.3128278825471
MLI,2000,9.0,2.97156000137329,19.0449695587158,0.85795001188914,Sub-Saharan Africa,Low income,Mali,,1153.0461,10832.49757,34.26345670499467
MLT,2000,11.0,4.18472003936768,87.8686981201172,39.796042919158936,Middle East & North Africa,High income,Malta,,20434.5495,392.2036132,773.6989027443187
MMR,2000,5.0,1.20247995853424,89.9417572021484,9.25,East Asia & Pacific,Lower middle income,Myanmar,,1843.4945,45616.37871,17.1191119420725
MNE,2000,,,93.4627380371094,,Europe & Central Asia,Upper middle income,Montenegro,,6046.1422,622.985,
MNG,2000,8.0,5.55037021636963,97.7688522338867,87.33705520629886,East Asia & Pacific,Lower middle income,Mongolia,,2936.0628,2461.0,162.96235518510824
MNP,2000,,,,,East Asia & Pacific,High income,Northern Mariana Islands,,,,
MOZ,2000,,2.77801990509033,38.707878112793,0.899999976158142,Sub-Saharan Africa,Low income,Mozambique,397.213055,1196.0149,16840.85665,36.15804869393823
MRT,2000,,1.72203004360199,51.2076797485352,5.09999990463257,Sub-Saharan Africa,Lower middle income,Mauritania,,1934.742,2501.0,33.652417388902904
MUS,2000,6.0,3.76910996437073,84.303092956543,30.304834524790465,Sub-Saharan Africa,Upper middle income,Mauritius,438.19229,14272.3009,1185.932,537.9387153668735
MWI,2000,8.0,5.24797010421753,64.1342468261719,9.620100369056056,Sub-Saharan Africa,Low income,Malawi,296.60756,967.0872,11339.009,50.7524471377144
MYS,2000,,5.9716100692749,88.6877593994141,49.86036904652914,East Asia & Pacific,Upper middle income,Malaysia,,13474.7015,22665.88069,804.6566315787359
NAM,2000,7.0,6.901780128479,75.8165817260742,49.2892799377441,Sub-Saharan Africa,Upper middle income,Namibia,305.89644,5971.8148,1893.334387,412.16152717596793
NCL,2000,0.0,,96.1379165649414,,East Asia & Pacific,High income,New Caledonia,,,,
NER,2000,,2.5650200843811,,0.400000013411045,Sub-Saharan Africa,Low income,Niger,,693.3765,10784.88775,17.785246485378718
NGA,2000,,3.0636899471283,55.4467506408691,,Sub-Saharan Africa,Lower middle income,Nigeria,,2144.8254,125013.9285,62.836280815601434
NIC,2000,6.0,3.00160002708435,,,Latin America & Caribbean,Lower middle income,Nicaragua,,2858.5269,4866.0,85.80154420461344
NLD,2000,13.0,4.58512020111084,,53.0,Europe & Central Asia,High income,Netherlands,551.4325133333333,37899.9504,15925.51303,1737.7582820013888
NOR,2000,10.0,6.46726989746094,,99.7946624755859,Europe & Central Asia,High income,Norway,514.6515633333333,54039.9607,4491.530852,3494.910110950823
NPL,2000,,2.9751501083374,32.9755897521973,4.81923007965088,South Asia,Lower middle income,Nepal,,1676.7456,23487.0,49.885698534942584
NRU,2000,10.0,,,,East Asia & Pacific,High income,Nauru,,,,
NZL,2000,10.0,6.6362099647522,,63.1911506652832,East Asia & Pacific,High income,New Zealand,541.77423,26823.0175,3802.0,1716.6543158749816
OMN,2000,,3.20023989677429,,,Middle East & North Africa,High income,Oman,,24186.3654,2218.929312,774.0217151104126
PAK,2000,12.0,1.83782005310059,42.6993103027344,8.87049694856009,South Asia,Lower middle income,Pakistan,,3154.5116,145759.0294,57.974246762184265
PAN,2000,11.0,4.75968980789185,91.8996200561523,44.7659829457601,Latin America & Caribbean,Upper middle income,Panama,,9898.7878,2900.0,471.15159402144195
PER,2000,12.0,3.22802996635437,87.1506271362305,48.2793617248535,Latin America & Caribbean,Upper middle income,Peru,344.02482333333336,6038.2444,25838.83026,194.91633867371465
PHL,2000,10.0,3.16440010070801,92.6000595092773,46.40885321299234,East Asia & Pacific,Lower middle income,Philippines,,4033.5609,80936.57799,127.63800518171891
PLW,2000,,8.01797962188721,91.9214172363281,,East Asia & Pacific,High income,Palau,,,,
PNG,2000,,7.38970994949341,57.34326171875,,East Asia & Pacific,Lower middle income,Papua New Guinea,,,,
POL,2000,9.0,4.9839301109314,98.7427368164063,52.16075785954794,Europe & Central Asia,High income,Poland,492.0417366666666,12732.1668,38657.63829,634.5622949192109
PRI,2000,13.0,6.68102979660034,89.6224975585938,65.30828539530437,Latin America & Caribbean,High income,Puerto Rico,,27392.4588,3811.0,832.6567435503003
PRK,2000,11.0,,,,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",,1657.1444,22785.0,
PRT,2000,9.0,5.16384983062744,87.9478530883789,36.969014803568506,Europe & Central Asia,High income,Portugal,477.13291333333336,23372.0401,10227.50958,1206.8970531180273
PRY,2000,9.0,4.2302098274231,90.2718200683594,27.639363288879366,Latin America & Caribbean,Upper middle income,Paraguay,,4896.4295,5474.363546,207.12924190184378
PSE,2000,10.0,,86.0769577026367,,Middle East & North Africa,Lower middle income,West Bank and Gaza,,5377.3935,3075.0,
PYF,2000,,,,,East Asia & Pacific,High income,French Polynesia,,,,
QAT,2000,,3.72598004341125,83.2621612548828,36.7000007629395,Middle East & North Africa,High income,Qatar,,45788.1227,554.9665139,1706.0563140546565
ROU,2000,8.0,2.86862993240356,96.7099761962891,70.1603622436523,Europe & Central Asia,Upper middle income,Romania,449.32592999999997,7089.9461,22118.06745,203.38431601587882
RUS,2000,8.0,2.93979001045227,97.9860534667969,63.0710296630859,Europe & Central Asia,Upper middle income,Russian Federation,482.22253333333333,10552.8846,145977.41,310.232647285356
RWA,2000,6.0,3.43635988235474,64.8886032104492,4.23764002323151,Sub-Saharan Africa,Low income,Rwanda,,1023.6182,7867.751099,35.175205173281704
SAU,2000,,5.90982007980347,79.3509368896484,37.78295040130613,Middle East & North Africa,High income,Saudi Arabia,,23904.5154,20443.60226,1412.7138510889129
SDN,2000,,1.01217997074127,61.3458709716797,2.7499999105930346,Sub-Saharan Africa,Low income,Sudan,,1951.4658,26770.57014,19.75234596346589
SEN,2000,6.0,2.44968008995056,26.8688507080078,,Sub-Saharan Africa,Lower middle income,Senegal,,1983.524,10310.87304,48.589992507390946
SGP,2000,6.0,3.32130002975464,92.5494003295898,46.75084384282429,East Asia & Pacific,High income,Singapore,,37772.7597,4063.333,1254.5466791552487
SLB,2000,,2.3150200843811,76.5999984741211,,East Asia & Pacific,Lower middle income,Solomon Islands,,,,
SLE,2000,,4.94936990737915,,,Sub-Saharan Africa,Low income,Sierra Leone,,828.7939,3809.0,41.020075880794046
SLV,2000,9.0,2.83868002891541,74.1431579589844,13.04121605555217,Latin America & Caribbean,Lower middle income,El Salvador,,5403.7147,5825.336,153.3941700084663
SMR,2000,10.0,,,,Europe & Central Asia,High income,San Marino,,,,
SOM,2000,,1.27727997303009,5.40465021133423,,Sub-Saharan Africa,Low income,Somalia,,,,
SRB,2000,8.0,,,,Europe & Central Asia,Upper middle income,Serbia,,6059.583,7604.335,
SSD,2000,,,,,Sub-Saharan Africa,Low income,South Sudan,,,,
STP,2000,6.0,,73.2424163818359,15.79895472526551,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,,2218.8196,141.0,
SUR,2000,6.0,,,,Latin America & Caribbean,Upper middle income,Suriname,,,,
SVK,2000,10.0,3.86468005180359,,35.30303049087526,Europe & Central Asia,High income,Slovak Republic,,13904.9854,5351.531111,537.3831969600017
SVN,2000,9.0,4.90559005737305,99.5245208740234,53.5497016906738,Europe & Central Asia,High income,Slovenia,,21501.3367,1982.005631,874.0192183979422
SWE,2000,9.0,6.740149974823,,78.1473693847656,Europe & Central Asia,High income,Sweden,524.87972,34202.6042,8872.280558,2305.3068183751107
SWZ,2000,,5.50848007202148,81.6606979370117,28.3126993179321,Sub-Saharan Africa,Lower middle income,Eswatini,396.459565,4894.5207,1031.828,269.61369738046625
SXM,2000,12.0,,,,Latin America & Caribbean,High income,Sint Maarten (Dutch part),,,,
SYC,2000,10.0,5.26100015640259,87.811149597168,41.4586181640625,Sub-Saharan Africa,High income,Seychelles,445.53711,14379.832,79.0,748.9447658131393
SYR,2000,6.0,3.699049949646,55.6544990539551,3.449999928474425,Middle East & North Africa,Low income,Syrian Arab Republic,,7668.0717,16397.49772,352.0523515717224
TCA,2000,13.0,4.71883010864258,,24.5454502105713,Latin America & Caribbean,High income,Turks and Caicos Islands,,,,
TCD,2000,6.0,2.64670991897583,25.6542091369629,,Sub-Saharan Africa,Low income,Chad,,716.0424,7820.639203,18.951565224872592
TGO,2000,10.0,3.92090010643005,53.1776008605957,2.7157701253891,Sub-Saharan Africa,Low income,Togo,,1150.3659,4992.0,45.104697797435
THA,2000,9.0,5.25345993041992,92.6465377807617,8.322296698888156,East Asia & Pacific,Upper middle income,Thailand,450.9416233333333,9627.1043,61892.63797,505.7560668602332
TJK,2000,9.0,2.32871007919312,99.45068359375,69.79994455973306,Europe & Central Asia,Lower middle income,Tajikistan,,1723.3563,6229.303533,40.13197185850962
TKM,2000,9.0,,98.7783203125,66.63702551523843,Europe & Central Asia,Upper middle income,Turkmenistan,,4173.1946,4384.93119,
TLS,2000,6.0,,,,East Asia & Pacific,Lower middle income,Timor-Leste,,,,
TON,2000,6.0,4.87807989120483,98.9053726196289,40.99233436584474,East Asia & Pacific,Upper middle income,Tonga,,,,
TTO,2000,6.0,2.75565004348755,97.9000015258789,20.1788898706436,Latin America & Caribbean,High income,Trinidad and Tobago,,19179.9187,1251.586514,528.5314379974267
TUN,2000,,6.20196008682251,48.1907005310059,8.856715202331525,Middle East & North Africa,Lower middle income,Tunisia,,7548.4378,9514.396366,468.15109953462314
TUR,2000,8.0,2.51688003540039,79.2324523925781,13.12822532653805,Europe & Central Asia,Upper middle income,Turkey,,11904.0082,67838.56716,299.60960579822535
TUV,2000,,3.73082995414734,,24.3174991607666,East Asia & Pacific,Upper middle income,Tuvalu,,,,
TZA,2000,7.0,2.17590999603271,59.1138000488281,,Sub-Saharan Africa,Lower middle income,Tanzania,408.32396,1148.6802,33741.30263,22.892205090761134
UGA,2000,,2.461669921875,56.1073799133301,5.73616009950636,Sub-Saharan Africa,Low income,Uganda,365.877975,1191.9539,24194.80104,29.341970638916013
UKR,2000,10.0,4.16623020172119,,23.683933973312385,Europe & Central Asia,Lower middle income,Ukraine,,5165.8082,49013.834,215.21946139138979
